Loan_SubType,Loan_Type,Requested_LoanAmount,Approved_LoanAmount,Funded_LoanAmount,Loan_Status,Borrower_Type,Applicant_State,Credit_Score,Type_ofVehicle,Value_ofAsset,LTV_Ratio,Loan_Class,Loan_Tier,Loan_Term,Monthly_Income,Monthly_debt,DTI_Ratio,Monthly_LoanPayment,Age_of_Employment_in_Months,Age_of_Employment_in_Years,Loan_SubType_Cat,Loan_Type_Cat,Loan_Status_Cat,Borrower_Type_Cat
Auto Refinance,Refinance,16.0,21742.19,21742.19,APPROVED,P,TX,825.0,CAR,26850.0,0,3 YR USED,1.tov-Vehicle T1,66,6.0,1.0,26.617,380.94,360,30.0,0,5,0,0
Auto Refinance,Refinance,75.0,6.0,6.0,APPROVED,P,TX,651.0,CAR,12600.0,0,TOKEN COLLATERAL,1.tov-Vehicle T1,30,8.0,3.0,42.56,236.67,72,6.0,0,5,0,0
Auto Refinance,Refinance,15291.33,15326.83,15326.83,APPROVED,P,TX,675.0,CAR,24125.0,0,3 YR USED,1.tov-Vehicle T4,66,5.0,1.0,33.414,303.4,42,3.5,0,5,0,0
Auto Refinance,Refinance,276.0,27158.52,27158.52,APPROVED,P,TX,630.0,CAR,32600.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,46.0,461.55,1.003,461.97,12,1.0,0,5,0,0
Auto Refinance,Refinance,22.0,21712.63,21712.63,APPROVED,P,TX,640.0,CAR,32100.0,0,3 YR USED,1.tov-Vehicle T3,66,3.0,1.0,34.156,402.12,28,2.33,0,5,0,0
Auto Refinance,Refinance,15.0,16496.93,16496.93,APPROVED,P,TX,736.0,CAR,30200.0,0,6-10 YR USED,1.tov-Vehicle T2,36,4.0,623.74,14.97,532.55,42,3.5,0,5,0,0
Auto Refinance,Refinance,19.0,2443.39,2443.39,APPROVED,P,TX,633.0,CAR,36850.0,0,3 YR USED,1.tov-Vehicle T3,66,4.0,444.77,10.133,445.24,168,14.0,0,5,0,0
Auto Refinance,Refinance,1.0,12693.34,12693.34,APPROVED,P,TX,738.0,CAR,17275.0,0,6-10 YR USED,1.tov-Vehicle T2,36,5.0,409.15,7.014,409.95,30,2.5,0,5,0,0
Other Secured Loan,Refinance,6.0,628.0,628.0,APPROVED,P,TX,744.0,CAR,9700.0,0,6-10 YR USED,1.tov-Vehicle T2,36,5.0,1.0,34.485,195.86,12,1.0,3,5,0,0
Auto Refinance,Refinance,13.0,1354.19,1354.19,APPROVED,P,TX,710.0,CAR,16300.0,0,4 YR USED,1.tov-Vehicle T2,54,3.0,932.97,28.707,280.5,108,9.0,0,5,0,0
