BranchID,Application_Date,Loan_SubType,Loan_Purpose,Loan_Type,Requested_LoanAmount,Approved_LoanAmount,Funded_LoanAmount,Loan_Status,Declined Date,Deciding Date,Approved Date,Funded Date,Borrower_Type,Applicant_State,Credit_Score,Type_ofVehicle,Value_ofAsset,LTV_Ratio,Loan_Class,Loan_Tier,Loan_Term,Monthly_Income,Monthly_debt,DTI_Ratio,Monthly_LoanPayment,Age_of_Employment_in_Months,Age_of_Employment_in_Years,Denial Reasons
691,6/6/2022,Auto Refinance,VEHICLE,Refinance,2856,18873.71,18873.71,APPROVED,,6/6/2022,6/6/2022,6/6/2022,P,TX,692,CAR,25925,0,3 YR USED,1.tov-Vehicle T3,66,1,445.14,34.242,349.6,12,1,
103,6/6/2022,Auto Refinance,VEHICLE,Refinance,273,2749.26,2749.26,APPROVED,,6/6/2022,6/6/2022,6/6/2022,P,TX,634,CAR,31450,0,3 YR USED,1.tov-Vehicle T3,66,10,2,23.327,507.5,66,5.5,
848,6/6/2022,Used Vehicle Loan,VEHICLE,Dealer Purchase,3,55218,55218,APPROVED,6/6/2022,6/13/2022,6/13/2022,,P,TX,672,CAR,47195,0,72 MO NEW,1.tov-Vehicle T3,72,7,3,46.783,939.77,132,11,Income insufficient for amount of credit requested
506,6/6/2022,Used Vehicle Loan,VEHICLE,Purchase-Other,34225,34575,34575,APPROVED,,6/10/2022,6/10/2022,6/10/2022,C,TX,759,CAR,34575,0,6-10 YR USED,,36,7,3,45.527,1144.71,205,17.08,
506,6/6/2022,Used Vehicle Loan,VEHICLE,Purchase-Other,34225,34575,34575,APPROVED,,6/10/2022,6/10/2022,6/10/2022,P,TX,629,CAR,34575,0,6-10 YR USED,1.tov-Vehicle T3,36,7,3,45.527,1144.71,121,10.08,
102,6/6/2022,Auto Refinance,VEHICLE,Refinance,65,55,,APPROVED,,6/29/2022,6/29/2022,,P,TX,834,CAR,52425,0,4 YR USED,1.tov-Vehicle T1,54,9,4,44.501,0,120,10,
334,6/6/2022,New Vehicle Loan,VEHICLE,Refinance,36,36125.15,36125.15,APPROVED,6/7/2022,6/7/2022,6/7/2022,6/7/2022,C,TX,633,CAR,37850,0,3 YR USED,,66,7,2,28.185,668.73,10,0.83,
334,6/6/2022,New Vehicle Loan,VEHICLE,Refinance,36,36125.15,36125.15,APPROVED,6/7/2022,6/7/2022,6/7/2022,6/7/2022,P,TX,725,CAR,37850,0,3 YR USED,1.tov-Vehicle T3,66,7,2,28.185,668.73,3,0.25,
858,6/6/2022,Used Vehicle Loan,VEHICLE,Refinance,32,14541.6,14541.6,APPROVED,6/8/2022,6/22/2022,6/22/2022,6/22/2022,P,TX,723,CAR,20950,0,3 YR USED,1.tov-Vehicle T3,60,5,324.17,5.454,294.71,66,5.5,"Unable to resolve fraud alert on credit report
"
103,6/7/2022,Auto Refinance,VEHICLE,Refinance,271.49,2725.47,2725.47,APPROVED,,6/7/2022,6/7/2022,6/7/2022,P,TX,790,CAR,41400,0,5 YR USED,1.tov-Vehicle T1,48,3,623.65,17.785,496.25,118,9.83,
688,6/7/2022,Used Vehicle Loan,VEHICLE,Dealer Purchase,62,6792.2,6792.2,APPROVED,,6/18/2022,6/18/2022,,P,TX,629,CAR,53245,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,5,2,34.336,1039.58,36,3,
815,6/7/2022,Auto Refinance,VEHICLE,Refinance,29919,12378.29,12378.29,APPROVED,,6/7/2022,6/7/2022,6/9/2022,P,TX,788,CAR,23825,0,6-10 YR USED,1.tov-Vehicle T2,36,4,1,32.919,399.8,12,1,
213,6/7/2022,New Vehicle Loan,VEHICLE,Purchase-Other,56373.11,56373.11,,APPROVED,,6/7/2022,6/7/2022,,P,TX,681,CAR,53095,0,72 MO NEW,6.tov-Vehicle T3,72,6,2,34.06,0,54,4.5,
659,6/7/2022,Auto Refinance,VEHICLE,Refinance,55,269,269,APPROVED,,6/7/2022,6/7/2022,6/7/2022,P,TX,633,CAR,2690,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,3,1,30.306,106.93,216,18,
421,6/7/2022,Used Vehicle Loan,VEHICLE,Private Party Purchase,5,435,435,APPROVED,,6/8/2022,6/8/2022,6/8/2022,P,MI,765,CAR,4350,0,TOKEN COLLATERAL,1.tov-Vehicle T1,30,6,2,33.951,169.64,36,3,
438,6/7/2022,Auto Refinance,VEHICLE,Refinance,94,944.67,944.67,DECLINED,6/15/2022,6/15/2022,6/7/2022,6/7/2022,P,TX,745,CAR,12725,0,6-10 YR USED,1.tov-Vehicle T2,36,3,345.24,11.508,306.05,12,1,Length of employment
656,6/7/2022,Used Vehicle Loan,VEHICLE,Refinance,47338.16,47548.58,47548.58,APPROVED,,6/7/2022,6/7/2022,,C,TX,657,CAR,53875,0,2 YR USED,,66,3,1,47.152,873.71,16,1.33,
656,6/7/2022,Used Vehicle Loan,VEHICLE,Refinance,47338.16,47548.58,47548.58,APPROVED,,6/7/2022,6/7/2022,,P,TX,663,CAR,53875,0,2 YR USED,1.tov-Vehicle T3,66,3,1,47.152,873.71,24,2,
